filename,x(m),y(m)
1,5.834,0.18
2,7.267,6.77E-02
3,3.93E+00,1.01E+00
4,6.246,0.00E+00
5,1.572,0.253
6,1.378,0.326
7,4.049,0.401
8,2.372,0.143
9,0.215,0.144
10,0.747,4.13E-02
11,3.595,1.201
12,1.056,-0.283
13,0.797,0.726
14,1.398,0.853
15,2.184,0.425
16,-3.09E-02,0.278
17,1.538,0.159
18,3.094,1.25
19,1.315,0.137
20,1.78E+00,1.01E-01
21,0.784,0
22,1.40E+00,8.67E-01
23,5.36E+00,3.17E-01
24,6.27E+00,2.47E-01
25,1.17E+00,2.91E-01
26,7.41E+00,1.75E+00
27,1.40E+00,4.80E-01
28,6.902,0.281
29,4.15,1.075
30,5.737,1.149
31,0.849,1.475
32,6.205,0.129
33,0.615,1.218
34,0.943,1.273
35,6.749,1.525
36,2.156,0.427
37,3.207,0.286
38,2.027,1.235
39,7.544,0.525
40,3.081,0.436
41,3.68E-01,9.20E-02
42,5.487,1.607
43,4.804,0.665
44,1.191,1.123
45,1.773,0.832
46,0.977,0.149
47,1.28E+00,1.35E+00
48,1.64E+00,1.07E+00
49,5.33E+00,1.56E+00
50,2.32E+00,1.64E+00
51,2.65E+00,3.20E+00
52,0.323,0.411
53,6.151,1.391
54,6.701,0.417
55,1.929,1.955
56,0,0.61
57,5.786,1.248
58,5.789,1.503
