filename,x(m),y(m)
1,5.834,0.18
2,7.267,6.77E-02
3,3.93E+00,1.01E+00
4,6.246,0.00E+00
5,1.572,0.253
6,1.378,0.326
7,4.049,0.401
8,3.742,1.57
9,5.763,0.53
10,3.606,0.763
11,0.48,0.968
12,0.855,0.126
13,2.372,0.143
14,0.215,0.144
15,0.337,0.146
16,5.076,-0.302
17,0.855,1.32E+00
18,0.747,4.13E-02
19,3.595,1.201
20,5.78E+00,1.069
21,0.734,0.345
22,1.056,-0.283
23,0.797,0.726
24,0.666,0.799
25,2.345,0.166
26,5.516,0.636
27,1.398,0.853
28,6.537,0.731
29,6.159,0.893
30,1.305,0.178
31,0.183,0.159
32,1.655,0.132
33,2.184,0.425
34,1.502,1.105
35,1.68,2.71E-02
36,1.795,0.271
37,3.916,0
38,-3.09E-02,0.278
39,1.538,0.159
40,3.094,1.25
41,1.315,0.137
42,5.753,0.4
43,6.328,1.19E+00
44,1.479,1.78
45,0.285,-0.148
46,4.05E+00,0.68
47,6.872,0.29
48,1.78E+00,1.01E-01
49,0.784,0
50,6.64E-01,8.86E-02
51,1.73E+00,6.29E-01
52,1.40E+00,8.67E-01
53,5.36E+00,3.17E-01
54,6.27E+00,2.47E-01
55,1.17E+00,2.91E-01
56,7.41E+00,1.75E+00
57,1.40E+00,4.80E-01
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ausfraW1,1.78E+00,1.01E-01
ausfraW2,0.784,0
ausfraW3,6.64E-01,8.86E-02
ausfraW4,1.73E+00,6.29E-01
ausfraW5,1.40E+00,8.67E-01
ausfraW6,5.36E+00,3.17E-01
ausfraW7,6.27E+00,2.47E-01
ausfraW8,1.17E+00,2.91E-01
ausfraW9,7.41E+00,1.75E+00
ausfraW10,1.40E+00,4.80E-01
,,
,,
,,
,,
,,
,,
,,
,,
,,
34,1.502,1.105
35,1.68,2.71E-02
36,1.795,0.271
37,3.916,0
38,-3.09E-02,0.278
39,1.538,0.159
40,3.094,1.25
41,1.315,0.137
